incorrect_text,correct_text,error_type,error_location,explanation,difficulty_level
私は学生です,私は学生です。,punctuation_error,です,Formal statement should end with a period.,beginner
「こんにちは」と彼は言った,「こんにちは」と彼は言った。,punctuation_error,言った,Quoted speech followed by attribution should end with a period.,beginner
これは、私の本です,これは私の本です,punctuation_error,",",Unnecessary comma between subject and verb.,beginner
お元気ですか,お元気ですか？,punctuation_error,か,Question should end with a question mark.,beginner
すごい,すごい！,punctuation_error,い,Exclamations should end with an exclamation mark for emphasis.,beginner
昨日は楽しかった。でも、少し疲れた,昨日は楽しかった。でも、少し疲れた。,punctuation_error,疲れた,The final sentence in a sequence should end with a period.,beginner
ケーキ（りんご）を食べた,ケーキ（リンゴ）を食べた,formatting_error,りんご,Words in parentheses for clarification are often written in Katakana.,intermediate
令和６年,令和六年,formatting_error,６,"In formal vertical writing, Japanese numerals (漢数字) are preferred.",intermediate
【重要】会議のお知らせ,【重要】会議のお知らせ,formatting_error,【重要】,"Brackets are used correctly for emphasis, but consistency in a document is key. This is more of a style point.",beginner
１つ２つ３つ,一つ、二つ、三つ,formatting_error,１つ２つ３つ,"When listing numbers with Japanese counters, commas are used for separation.",beginner
メールアドレス:test@example.com,メールアドレス：test@example.com,formatting_error,:,Full-width colon is often used in Japanese typography for consistency.,beginner
田中様 御中,田中様,formatting_error,御中,"御中 is for organizations, 様 is for individuals. Do not use both.",intermediate
2023/10/11,2023年10月11日,formatting_error,/,The 年月日 format is standard for dates in Japanese.,beginner
こんにちわ,こんにちは,spelling_error,わ,"The correct spelling for the greeting is with は (ha), not わ (wa).",beginner
ぜんぜん大丈夫,まったく問題ありません,word_choice,ぜんぜん,"ぜんぜん is usually used with negative verbs. In formal contexts, 「まったく問題ありません」 is better.",intermediate
ふいんき,雰囲気,spelling_error,ふいんき,Common typo. The correct reading and spelling is ふんいき.,intermediate
シュミレーション,シミュレーション,spelling_error,シュミ,Incorrect borrowing from English 'simulation'. The correct Katakana is シミュレーション.,intermediate
たいいく,体育,spelling_error,たいいく,"While pronounced たいいく, it's a single word written as 体育.",beginner
とうきょう,東京,character_error,とうきょう,Proper nouns like Tokyo should be written in Kanji.,beginner
アメリカ人じん,アメリカ人,character_error,じん,Redundant character. 人 (jin) already means person.,beginner
食べずらい,食べづらい,spelling_error,ず,"The correct auxiliary verb ending is 〜づらい, not 〜ずらい.",intermediate
がっこうう,学校,spelling_error,う,Typo with an extra character.,beginner
お会いできてうれしいです,お会いできて嬉しいです,character_error,うれしい,"While hiragana is not strictly wrong, this adjective is commonly written with Kanji.",intermediate
かんじ,漢字,character_error,かんじ,The word for 'Kanji' itself should be written in Kanji.,beginner
づっと,ずっと,spelling_error,づ,"The correct spelling is with ず (zu), not づ (dzu).",beginner
おとうさんへ、,お父さんへ,character_error,おとうさん,"In writing, family titles are often written with Kanji.",beginner
友達と遊ぶのが楽しい（笑）,（友達と遊ぶのが楽しいです）,context_error,（笑）,Using (笑) is too casual for formal writing. Rephrase politely.,intermediate
おい、田中！,田中さん,context_error,おい,「おい」 is rude. Use the person's name with さん.,beginner
これ、マジうまい,これは、とても美味しいですね,context_error,マジうまい,"Slang. In a polite context, use 「とても美味しい」.",intermediate
レポート、明日までにお願い,レポートを明日までにお願いします,context_error,お願い,Too direct and casual for a request to a superior.,intermediate
